Date,Episode,Total_Reward,Total_Loss
2024-11-27,1,-12345.85006039243,11976.085983005809
2024-11-27,2,-16915.925914959153,16551.25709690655
2024-11-27,3,-18639.26377736047,18289.128496622616
2024-11-27,4,-23051.99005183603,22697.17918681675
2024-11-27,5,-16723.110880761888,16364.398555569393
2024-11-27,6,-14582.075977075454,14223.451835408858
2024-11-27,7,-13265.297464974317,12899.068596010226
2024-11-27,8,-16590.490072061537,16228.323317085224
2024-11-27,9,-16306.562535545308,15937.403835468596
2024-11-27,10,-17714.31041231816,17357.98518000256
2024-11-27,11,-17590.374607685266,17227.491983232743
2024-11-27,12,-18520.88793792259,18171.46085619825
2024-11-27,13,-14977.33057744845,14617.248383482784
2024-11-27,14,-12215.966221365374,11847.338240390176
2024-11-27,15,-15439.872734943598,15070.56797216297
2024-11-27,16,-15174.676481339084,14798.266191107468
2024-11-27,17,-14448.581288916816,14081.756732940918
2024-11-27,18,-13274.11150071272,12900.862700110314
2024-11-27,19,-13195.588860938515,12827.42186673548
2024-11-27,20,-9121.127410558931,8758.823202247168
2024-11-27,21,-8907.636738931244,8565.485888906458
2024-11-27,22,-13740.40828919067,13367.832520799699
2024-11-27,23,-14437.438712936162,14075.8274182803
2024-11-27,24,-13290.4003366392,12920.857298098359
2024-11-27,25,-13666.26395625323,13294.895670311182
2024-11-27,26,-14175.786632777246,13800.011513836213
2024-11-27,27,-11418.701369960487,11050.215225112026
2024-11-27,28,-10352.746103077026,9987.00484293986
2024-11-27,29,-13901.670458982137,13532.052037554608
2024-11-27,30,-16542.31443822716,16194.598765193892
2024-11-27,31,-14404.469761357139,14033.291469622782
2024-11-27,32,-15598.610503173626,15231.905064606919
2024-11-27,33,-15243.643923460539,14879.406402422337
2024-11-27,34,-11383.869239237543,11028.924045306363
2024-11-27,35,-9882.082365096367,9521.709227439507
2024-11-27,36,-13659.042204648686,13291.426848835781
2024-11-27,37,-14548.230679472867,14183.058578221733
2024-11-27,38,-16174.344011590361,15817.345396249066
2024-11-27,39,-16087.697082416942,15734.065369416026
2024-11-27,40,-15629.108466144944,15275.895180938875
2024-11-27,41,-10485.903550724357,10122.596148236102
2024-11-27,42,-9584.63983233991,9243.763912669518
2024-11-27,43,-13506.962175716619,13138.279947916184
2024-11-27,44,-13440.43843837391,13077.441712502045
2024-11-27,45,-13884.364686113455,13528.461153296492
2024-11-27,46,-12916.760758329807,12554.476338599112
2024-11-27,47,-12631.083653042804,12261.746971647795
2024-11-27,48,-8343.180141113191,7985.176529855402
2024-11-27,49,-7030.9476119139235,6665.69671787255
2024-11-27,50,-11811.11499818761,11442.570944037529
2024-11-27,51,-12538.708301116123,12182.428912545987
2024-11-27,52,-13630.686017509115,13274.008856785978
2024-11-27,53,-13749.673348259163,13382.329585595264
2024-11-27,54,-12474.177514485906,12115.105202520263
2024-11-27,55,-11904.0566883488,11552.029525278256
2024-11-27,56,-9257.772591690411,8898.432925005049
2024-11-27,57,-12915.508763214913,12553.28291816029
2024-11-27,58,-12651.25278156406,12273.951938138101
2024-11-27,59,-12938.969711767126,12563.534066563016
2024-11-27,60,-13843.928913116517,13478.025208576224
2024-11-27,61,-14441.484174709503,14078.388135486677
2024-11-27,62,-12026.17668522452,11664.374937412298
2024-11-27,63,-9025.586949846851,8658.751792173085
2024-11-27,64,-12343.103337170749,11979.237135768934
2024-11-27,65,-13767.168528124133,13411.822964116578
2024-11-27,66,-14547.265156837148,14190.407607225403
2024-11-27,67,-14394.757948220624,14038.192672407833
2024-11-27,68,-15643.410965559808,15285.427510568223
2024-11-27,69,-12508.269226395832,12138.547162440005
2024-11-27,70,-10254.233368386236,9887.632717872651
2024-11-27,71,-14388.37370928785,14027.144132460488
2024-11-27,72,-14210.84783167179,13842.38467877156
2024-11-27,73,-14122.369808893001,13765.34354020658
2024-11-27,74,-13445.047881014598,13078.740235467114
2024-11-27,75,-12417.394901334012,12042.913829368297
2024-11-27,76,-8978.616829328392,8632.425616990193
2024-11-27,77,-8295.256649583467,7939.605662842822
2024-11-27,78,-11952.388305477516,11588.884030990303
2024-11-27,79,-14084.217575031711,13730.497309277469
2024-11-27,80,-14385.29559198713,14036.15070882551
2024-11-27,81,-14566.959087280327,14205.80646946323
2024-11-27,82,-14402.137986067237,14048.494048170307
2024-11-27,83,-11737.34575832183,11381.253961565231
2024-11-27,84,-8645.23822659187,8271.779634822362
2024-11-27,85,-11903.763809146503,11541.715983199876
2024-11-27,86,-13537.80547423086,13179.584150523917
2024-11-27,87,-14828.189939798813,14473.025798904724
2024-11-27,88,-14343.170241560947,13983.38560678079
2024-11-27,89,-14050.778920538602,13694.022145920491
2024-11-27,90,-8304.202301828118,7961.042602748696
2024-11-27,91,-7542.498901671593,7177.758098774625
2024-11-27,92,-11853.450396165843,11490.374522002396
2024-11-27,93,-11436.868096293765,11074.905364581615
2024-11-27,94,-13472.360350285679,13120.042701041293
2024-11-27,95,-13538.791408381912,13184.315883425297
2024-11-27,96,-14681.600329546416,14324.470941092062
2024-11-27,97,-8889.846239756498,8509.370688175462
2024-11-27,98,-6791.935629068293,6415.669153154765
2024-11-27,99,-10744.750772599815,10379.794206250252
2024-11-27,100,-12577.479462988957,12221.600015883403
2024-11-27,101,-11966.032575962388,11611.034431434886
2024-11-27,102,-12270.27075719129,11913.729806363372
2024-11-27,103,-12260.301645251533,11902.30872108707
2024-11-27,104,-9412.300530522163,9036.41733500022
2024-11-27,105,-5961.4783320842525,5584.788419850532
2024-11-27,106,-10170.162802725095,9806.257899496526
2024-11-27,107,-12062.535924905489,11705.429637334702
2024-11-27,108,-12762.36237495364,12406.581467817894
2024-11-27,109,-12506.3244116531,12148.805712713445
2024-11-27,110,-11902.221507023502,11547.992687150845
2024-11-27,111,-8439.111098753565,8072.506078878017
