Date,Episode,Total_Reward,Total_Loss
2024-12-02,1,-430.829008015381,44.52491294509339
2024-12-02,2,-469.5454154939422,86.27182171726315
2024-12-02,3,-489.55800445119195,101.4830563272439
2024-12-02,4,-553.1140330057067,165.9681346373395
2024-12-02,5,-472.73675609151707,84.37927478620306
2024-12-02,6,-446.0841211997309,61.32041558866155
2024-12-02,7,-438.58139758238525,51.45551497566376
2024-12-02,8,-465.24315015664774,81.41019278160304
2024-12-02,9,-463.77503133996635,79.97025757266681
2024-12-02,10,-480.7362632079295,95.6460640829923
2024-12-02,11,-477.38855378825565,91.73813250827186
2024-12-02,12,-482.72308126080156,97.19438968536483
2024-12-02,13,-447.58338871474757,61.58099690534827
2024-12-02,14,-429.31667796954133,43.46547606564201
2024-12-02,15,-451.10849547330594,67.49017257169035
2024-12-02,16,-452.32961080654513,69.6338525678259
2024-12-02,17,-449.8885093371758,66.85680041703002
2024-12-02,18,-439.9240676682673,59.482623845422054
2024-12-02,19,-439.887260672514,56.89464086975631
2024-12-02,20,-411.8104110074684,28.80654124273517
2024-12-02,21,-413.48735478487936,28.36944319767669
2024-12-02,22,-444.0481231615599,63.07209228893965
2024-12-02,23,-448.76969938422326,66.20005416817035
2024-12-02,24,-438.3197769431268,52.468048096261064
2024-12-02,25,-441.8668919234393,58.935654092318345
2024-12-02,26,-446.6016182321652,64.70694902496473
2024-12-02,27,-424.4730177456389,40.56399675530457
2024-12-02,28,-419.3546157220679,36.01592873897661
2024-12-02,29,-441.5229089530388,59.00894998935989
2024-12-02,30,-470.2934236487668,86.08956104367775
2024-12-02,31,-450.3416729872461,66.35537331067711
2024-12-02,32,-457.38408397446864,73.36380347770582
2024-12-02,33,-452.82608755004316,70.0650866443227
2024-12-02,34,-424.53239882848703,40.24870676172847
2024-12-02,35,-414.7949757554391,32.38867330071748
2024-12-02,36,-441.9529044762198,58.11409881480531
2024-12-02,37,-449.0871946398344,68.16852228731882
2024-12-02,38,-463.3872414146782,78.85508786100135
2024-12-02,39,-460.16935132424675,77.10703013516884
2024-12-02,40,-459.43562193735585,73.58014331892852
2024-12-02,41,-416.6425058241111,35.30222074816951
2024-12-02,42,-413.432749957087,31.412788532894727
2024-12-02,43,-438.05366451814274,57.32702773062209
2024-12-02,44,-437.9928193119772,57.38895486385695
