Date,Episode,Hour,Action,Battery_Energy,System_Loss
2024-11-26,1,1,"[0.5501127243041992, -0.2451518476009369, 0.012608887627720833, 0.6419379711151123, 0.06590347737073898]",2.539110469818115,0
2024-11-26,2,1,"[0.5501127243041992, -0.2451518476009369, 0.012608887627720833, 0.6419379711151123, 0.06590347737073898]",2.539110469818115,0
2024-11-26,3,1,"[0.5501127243041992, -0.2451518476009369, 0.012608887627720833, 0.6419379711151123, 0.06590347737073898]",2.539110469818115,0
2024-11-26,4,1,"[0.5501127243041992, -0.2451518476009369, 0.012608887627720833, 0.6419379711151123, 0.06590347737073898]",2.539110469818115,0
2024-11-26,5,1,"[0.5501127243041992, -0.2451518476009369, 0.012608887627720833, 0.6419379711151123, 0.06590347737073898]",2.539110469818115,0
2024-11-26,6,1,"[0.5501127243041992, -0.2451518476009369, 0.012608887627720833, 0.6419379711151123, 0.06590347737073898]",2.539110469818115,0
2024-11-26,7,1,"[0.5501127243041992, -0.2451518476009369, 0.012608887627720833, 0.6419379711151123, 0.06590347737073898]",2.539110469818115,0
2024-11-26,8,1,"[0.5501127243041992, -0.2451518476009369, 0.012608887627720833, 0.6419379711151123, 0.06590347737073898]",2.539110469818115,0
2024-11-26,9,1,"[0.5501127243041992, -0.2451518476009369, 0.012608887627720833, 0.6419379711151123, 0.06590347737073898]",2.539110469818115,0
2024-11-26,10,1,"[0.5501127243041992, -0.2451518476009369, 0.012608887627720833, 0.6419379711151123, 0.06590347737073898]",2.539110469818115,0
2024-11-26,11,1,"[0.5501127243041992, -0.2451518476009369, 0.012608887627720833, 0.6419379711151123, 0.06590347737073898]",2.539110469818115,0
2024-11-26,12,1,"[0.5501127243041992, -0.2451518476009369, 0.012608887627720833, 0.6419379711151123, 0.06590347737073898]",2.539110469818115,0
2024-11-26,13,1,"[0.5501127243041992, -0.2451518476009369, 0.012608887627720833, 0.6419379711151123, 0.06590347737073898]",2.539110469818115,0
2024-11-26,14,1,"[0.5501127243041992, -0.2451518476009369, 0.012608887627720833, 0.6419379711151123, 0.06590347737073898]",2.539110469818115,0
2024-11-26,15,1,"[0.5501127243041992, -0.2451518476009369, 0.012608887627720833, 0.6419379711151123, 0.06590347737073898]",2.539110469818115,0
2024-11-26,16,1,"[0.5501127243041992, -0.2451518476009369, 0.012608887627720833, 0.6419379711151123, 0.06590347737073898]",2.539110469818115,0
2024-11-26,17,1,"[0.5501127243041992, -0.2451518476009369, 0.012608887627720833, 0.6419379711151123, 0.06590347737073898]",2.539110469818115,0
2024-11-26,18,1,"[0.5501127243041992, -0.2451518476009369, 0.012608887627720833, 0.6419379711151123, 0.06590347737073898]",2.539110469818115,0
2024-11-26,19,1,"[0.5501127243041992, -0.2451518476009369, 0.012608887627720833, 0.6419379711151123, 0.06590347737073898]",2.539110469818115,0
2024-11-26,20,1,"[0.5501127243041992, -0.2451518476009369, 0.012608887627720833, 0.6419379711151123, 0.06590347737073898]",2.539110469818115,0
2024-11-26,21,1,"[0.5501127243041992, -0.2451518476009369, 0.012608887627720833, 0.6419379711151123, 0.06590347737073898]",2.539110469818115,0
2024-11-26,22,1,"[0.5501127243041992, -0.2451518476009369, 0.012608887627720833, 0.6419379711151123, 0.06590347737073898]",2.539110469818115,0
2024-11-26,23,1,"[0.5501127243041992, -0.2451518476009369, 0.012608887627720833, 0.6419379711151123, 0.06590347737073898]",2.539110469818115,0
2024-11-26,24,1,"[0.5501127243041992, -0.2451518476009369, 0.012608887627720833, 0.6419379711151123, 0.06590347737073898]",2.539110469818115,0
2024-11-26,25,1,"[0.5501127243041992, -0.2451518476009369, 0.012608887627720833, 0.6419379711151123, 0.06590347737073898]",2.539110469818115,0
2024-11-26,26,1,"[0.5501127243041992, -0.2451518476009369, 0.012608887627720833, 0.6419379711151123, 0.06590347737073898]",2.539110469818115,0
2024-11-26,27,1,"[0.5501127243041992, -0.2451518476009369, 0.012608887627720833, 0.6419379711151123, 0.06590347737073898]",2.539110469818115,0
2024-11-26,28,1,"[0.5501127243041992, -0.2451518476009369, 0.012608887627720833, 0.6419379711151123, 0.06590347737073898]",2.539110469818115,0
2024-11-26,29,1,"[0.5501127243041992, -0.2451518476009369, 0.012608887627720833, 0.6419379711151123, 0.06590347737073898]",2.539110469818115,0
2024-11-26,30,1,"[0.5501127243041992, -0.2451518476009369, 0.012608887627720833, 0.6419379711151123, 0.06590347737073898]",2.539110469818115,0
2024-11-26,31,1,"[0.5501127243041992, -0.2451518476009369, 0.012608887627720833, 0.6419379711151123, 0.06590347737073898]",2.539110469818115,0
2024-11-26,32,1,"[0.5501127243041992, -0.2451518476009369, 0.012608887627720833, 0.6419379711151123, 0.06590347737073898]",2.539110469818115,0
2024-11-26,33,1,"[0.5501127243041992, -0.2451518476009369, 0.012608887627720833, 0.6419379711151123, 0.06590347737073898]",2.539110469818115,0
2024-11-26,34,1,"[0.5501127243041992, -0.2451518476009369, 0.012608887627720833, 0.6419379711151123, 0.06590347737073898]",2.539110469818115,0
2024-11-26,35,1,"[0.5501127243041992, -0.2451518476009369, 0.012608887627720833, 0.6419379711151123, 0.06590347737073898]",2.539110469818115,0
2024-11-26,36,1,"[0.5501127243041992, -0.2451518476009369, 0.012608887627720833, 0.6419379711151123, 0.06590347737073898]",2.539110469818115,0
2024-11-26,37,1,"[0.5501127243041992, -0.2451518476009369, 0.012608887627720833, 0.6419379711151123, 0.06590347737073898]",2.539110469818115,0
2024-11-26,38,1,"[0.5501127243041992, -0.2451518476009369, 0.012608887627720833, 0.6419379711151123, 0.06590347737073898]",2.539110469818115,0
2024-11-26,39,1,"[0.5501127243041992, -0.2451518476009369, 0.012608887627720833, 0.6419379711151123, 0.06590347737073898]",2.539110469818115,0
2024-11-26,40,1,"[0.5501127243041992, -0.2451518476009369, 0.012608887627720833, 0.6419379711151123, 0.06590347737073898]",2.539110469818115,0
2024-11-26,41,1,"[0.5501127243041992, -0.2451518476009369, 0.012608887627720833, 0.6419379711151123, 0.06590347737073898]",2.539110469818115,0
2024-11-26,42,1,"[0.5501127243041992, -0.2451518476009369, 0.012608887627720833, 0.6419379711151123, 0.06590347737073898]",2.539110469818115,0
2024-11-26,43,1,"[0.5501127243041992, -0.2451518476009369, 0.012608887627720833, 0.6419379711151123, 0.06590347737073898]",2.539110469818115,0
2024-11-26,44,1,"[0.5501127243041992, -0.2451518476009369, 0.012608887627720833, 0.6419379711151123, 0.06590347737073898]",2.539110469818115,0
2024-11-26,45,1,"[0.5501127243041992, -0.2451518476009369, 0.012608887627720833, 0.6419379711151123, 0.06590347737073898]",2.539110469818115,0
2024-11-26,46,1,"[0.5501127243041992, -0.2451518476009369, 0.012608887627720833, 0.6419379711151123, 0.06590347737073898]",2.539110469818115,0
2024-11-26,47,1,"[0.5501127243041992, -0.2451518476009369, 0.012608887627720833, 0.6419379711151123, 0.06590347737073898]",2.539110469818115,0
2024-11-26,48,1,"[0.5501127243041992, -0.2451518476009369, 0.012608887627720833, 0.6419379711151123, 0.06590347737073898]",2.539110469818115,0
2024-11-26,49,1,"[0.5501127243041992, -0.2451518476009369, 0.012608887627720833, 0.6419379711151123, 0.06590347737073898]",2.539110469818115,0
2024-11-26,50,1,"[0.5501127243041992, -0.2451518476009369, 0.012608887627720833, 0.6419379711151123, 0.06590347737073898]",2.539110469818115,0
2024-11-26,51,1,"[0.5501127243041992, -0.2451518476009369, 0.012608887627720833, 0.6419379711151123, 0.06590347737073898]",2.539110469818115,0
2024-11-26,52,1,"[0.5501127243041992, -0.2451518476009369, 0.012608887627720833, 0.6419379711151123, 0.06590347737073898]",2.539110469818115,0
2024-11-26,53,1,"[0.5501127243041992, -0.2451518476009369, 0.012608887627720833, 0.6419379711151123, 0.06590347737073898]",2.539110469818115,0
2024-11-26,54,1,"[0.5501127243041992, -0.2451518476009369, 0.012608887627720833, 0.6419379711151123, 0.06590347737073898]",2.539110469818115,0
2024-11-26,55,1,"[0.5501127243041992, -0.2451518476009369, 0.012608887627720833, 0.6419379711151123, 0.06590347737073898]",2.539110469818115,0
2024-11-26,56,1,"[0.5501127243041992, -0.2451518476009369, 0.012608887627720833, 0.6419379711151123, 0.06590347737073898]",2.539110469818115,0
2024-11-26,57,1,"[0.5501127243041992, -0.2451518476009369, 0.012608887627720833, 0.6419379711151123, 0.06590347737073898]",2.539110469818115,0
2024-11-26,58,1,"[0.5501127243041992, -0.2451518476009369, 0.012608887627720833, 0.6419379711151123, 0.06590347737073898]",2.539110469818115,0
