Date,Episode,Hour,Action,Battery_Energy,System_Loss
2024-11-27,1,1,"[-0.2729646861553192, -0.24637192487716675, -0.8527284264564514, -0.28375694155693054, -0.731791615486145]",1.7324946075677872,459.0111308008749
2024-11-27,1,2,"[-0.24678492546081543, -0.2614494264125824, -0.8512112498283386, -0.4044187068939209, -0.7635068893432617]",1.4906453806161881,454.5290536576844
2024-11-27,1,3,"[-0.2693752944469452, -0.2645324468612671, -0.8396167159080505, -0.33582809567451477, -0.7596020698547363]",1.226657592058182,411.3411742475234
2024-11-27,1,4,"[-0.1413099765777588, -0.11915171891450882, -0.8316394686698914, -0.36162397265434265, -0.6712373495101929]",1.0881738150119784,373.1569564632447
2024-11-27,1,5,"[0.02687612920999527, -0.059635892510414124, -0.8445249199867249, -0.32323211431503296, -0.5929777026176453]",1.1145124216377738,374.49604268854347
2024-11-27,1,6,"[-0.046123895794153214, -0.039669182151556015, -0.8502013087272644, -0.36274245381355286, -0.5921984910964966]",1.0693110037595035,445.72845248215987
2024-11-27,1,7,"[-0.20490071177482605, -0.23737280070781708, -0.8512465357780457, -0.2300034761428833, -0.6546519994735718]",0.8685083062201739,530.4619334646692
2024-11-27,1,8,"[-0.39439791440963745, -0.23226721584796906, -0.8920284509658813, -0.18702523410320282, -0.615420401096344]",0.8,553.7600008700118
2024-11-27,1,9,"[-0.30053946375846863, 0.009807271882891655, -0.923151433467865, -0.14487296342849731, -0.5574949979782104]",0.8,592.8083317597885
2024-11-27,1,10,"[-0.19440826773643494, 0.06650732457637787, -0.9266489148139954, -0.12419109046459198, -0.6963694095611572]",0.8,631.6720630757461
2024-11-27,1,11,"[-0.25848013162612915, 0.01698131114244461, -0.9337013959884644, 0.02276061661541462, -0.7101163268089294]",0.8,654.7941387387117
2024-11-27,1,12,"[-0.07371801137924194, -0.15423226356506348, -0.9575228095054626, -0.1632968634366989, -0.7674058079719543]",0.8,694.5020982293709
2024-11-27,1,13,"[0.01689024642109871, -0.04896114394068718, -0.9696584343910217, -0.3056471645832062, -0.842659592628479]",0.8165524414926768,626.3216047915241
2024-11-27,1,14,"[-0.08521432429552078, -0.24357566237449646, -0.9593908190727234, -0.09528205543756485, -0.8009781241416931]",0.8,598.5076541166936
2024-11-27,1,15,"[-0.4552006721496582, -0.25635507702827454, -0.904033362865448, -0.2534697353839874, -0.785686194896698]",0.8,564.8611478871746
2024-11-27,1,16,"[-0.060312844812870026, -0.1500011533498764, -0.9269137978553772, -0.28945285081863403, -0.7259731888771057]",0.8,437.8339577616456
2024-11-27,1,17,"[0.11865280568599701, -0.06202638894319534, -0.8917219042778015, -0.37197986245155334, -0.6656156182289124]",0.9162797495722771,476.7686358232263
2024-11-27,1,18,"[0.05797462537884712, -0.030400721356272697, -0.933095395565033, -0.4253869950771332, -0.7077698707580566]",0.9730948824435472,456.998675815651
2024-11-27,1,19,"[0.055491141974925995, -0.12762221693992615, -0.9023693203926086, -0.45344120264053345, -0.6256387233734131]",1.0274762015789747,473.38189028654637
2024-11-27,1,20,"[0.13792608678340912, -0.03001987934112549, -0.9169178605079651, -0.3311455249786377, -0.6152434945106506]",1.1626437666267155,475.8194191508669
2024-11-27,1,21,"[0.09889355301856995, -0.03302565589547157, -0.924357533454895, -0.4660175144672394, -0.6432933807373047]",1.259559448584914,448.198801004507
2024-11-27,1,22,"[0.03732982650399208, -0.10113030672073364, -0.8927536606788635, -0.45152539014816284, -0.605182409286499]",1.2961426785588261,423.96574089243256
2024-11-27,1,23,"[0.0866561010479927, -0.11637710779905319, -0.8845950365066528, -0.48309874534606934, -0.6155876517295837]",1.381065657585859,418.5737090622725
