Date,Episode,Hour,Action,Battery_Energy,System_Loss
2024-12-02,1,1,"[0.5792176723480225, 0.746830940246582, 0.7178773880004883, 0.02987736649811268, -0.13906340301036835]",2.567633318901062,1.6830910354483797
2024-12-02,1,2,"[0.556464433670044, 0.7585538625717163, 0.6456213593482971, 0.07038088142871857, -0.056555282324552536]",3.1129684638977047,1.6499203371258657
2024-12-02,1,3,"[0.5687123537063599, 0.7431591153144836, 0.714765191078186, 0.03951456397771835, -0.1384776383638382]",3.6,1.402255951496056
2024-12-02,1,4,"[0.4289722740650177, 0.6709773540496826, 0.5678077936172485, 0.14556598663330078, -0.10693363845348358]",3.6,1.2083628635077261
2024-12-02,1,5,"[0.3719901144504547, 0.6847038269042969, 0.5048069357872009, 0.18579930067062378, -0.04059221222996712]",3.6,1.2496004071222675
2024-12-02,1,6,"[0.42860278487205505, 0.6561151146888733, 0.48955363035202026, 0.18305326998233795, -0.08106474578380585]",3.6,1.5421196442424132
2024-12-02,1,7,"[0.5134362578392029, 0.7201927304267883, 0.5943729281425476, 0.00898556038737297, -0.06705018132925034]",3.6,1.986792055940733
2024-12-02,1,8,"[0.6799697279930115, 0.7833347916603088, 0.5733332633972168, -0.049971986562013626, -0.0007533876923844218]",3.6,1.9694486721005566
2024-12-02,1,9,"[0.6765101552009583, 0.785557210445404, 0.4798296093940735, 0.0561436228454113, 0.10878368467092514]",3.6,2.228992611236502
2024-12-02,1,10,"[0.5463141202926636, 0.7402457594871521, 0.548621654510498, 0.22315849363803864, 0.03836061432957649]",3.6,2.4717913897625765
2024-12-02,1,11,"[0.5720392465591431, 0.8043810725212097, 0.7029305696487427, 0.18797124922275543, -0.08490419387817383]",3.6,2.7671702384231587
2024-12-02,1,12,"[0.717393696308136, 0.853818416595459, 0.7081074714660645, 0.07821669429540634, 0.03323774039745331]",3.6,3.0820012070109244
2024-12-02,1,13,"[0.6844305396080017, 0.8978766798973083, 0.7240564227104187, 0.3034832179546356, 0.1001909151673317]",3.6,2.6263847664270155
2024-12-02,1,14,"[0.6346229314804077, 0.9100508093833923, 0.7844064235687256, 0.07834690064191818, 0.0063665988855063915]",3.6,2.3205571127874984
2024-12-02,1,15,"[0.7773651480674744, 0.8386024832725525, 0.6397342681884766, 0.0761362612247467, 0.05949752777814865]",3.6,2.1529119919305515
2024-12-02,1,16,"[0.6489238739013672, 0.8241459131240845, 0.7354779839515686, 0.2578728497028351, -0.0592067614197731]",3.6,1.5676015409049837
2024-12-02,1,17,"[0.5108186602592468, 0.7282085418701172, 0.6002302169799805, 0.16998906433582306, 0.01918204315006733]",3.6,1.7606340784267447
2024-12-02,1,18,"[0.4388917088508606, 0.7939592003822327, 0.7032577395439148, 0.16639357805252075, -0.14147642254829407]",3.6,1.643124159474631
2024-12-02,1,19,"[0.5318076014518738, 0.7603175044059753, 0.4586182236671448, 0.21784092485904694, 0.051797498017549515]",3.6,1.6570564352519064
2024-12-02,1,20,"[0.43158066272735596, 0.7447219491004944, 0.5994244813919067, 0.14520756900310516, 0.035380683839321136]",3.6,1.7167027225441274
2024-12-02,1,21,"[0.4419263005256653, 0.7571271061897278, 0.6261729001998901, 0.17100127041339874, -0.046324171125888824]",3.6,1.5753670582777846
2024-12-02,1,22,"[0.474718302488327, 0.7238168716430664, 0.47418490052223206, 0.23879757523536682, 0.06411876529455185]",3.6,1.45931689327599
2024-12-02,1,23,"[0.4345843493938446, 0.7441673278808594, 0.5548975467681885, 0.16094709932804108, -0.032978806644678116]",3.6,1.4540724913345402
2024-12-02,1,24,"[0.45577603578567505, 0.7688072919845581, 0.4664400517940521, 0.14139424264431, 0.052242014557123184]",3.6,1.3496372810404615
2024-12-02,2,1,"[0.3724870979785919, 0.7313817143440247, 0.5408546924591064, 0.2318550944328308, -0.05211424455046654]",2.36503735601902,1.4254351463431938
2024-12-02,2,2,"[0.39551910758018494, 0.7529937624931335, 0.5635676383972168, 0.19030213356018066, -0.05997631698846817]",2.7526460814476015,1.3422003436103813
2024-12-02,2,3,"[0.3628200888633728, 0.7473198175430298, 0.5605281591415405, 0.19579100608825684, -0.0512283556163311]",3.108209768533707,1.598502532275984
2024-12-02,2,4,"[0.4477517008781433, 0.753139078617096, 0.6101237535476685, 0.18273061513900757, -0.08351986855268478]",3.5470064353942874,1.5624329555443428
2024-12-02,2,5,"[0.49778831005096436, 0.7564466595649719, 0.6277327537536621, 0.08523808419704437, -0.05787738040089607]",3.6,1.6851077569069701
2024-12-02,2,6,"[0.5352022647857666, 0.7789785861968994, 0.6627349853515625, 0.11901763081550598, -0.09694371372461319]",3.6,2.0913268263730433
2024-12-02,2,7,"[0.5852874517440796, 0.812033474445343, 0.7212442755699158, -0.02929684892296791, -0.09939872473478317]",3.6,3.4611645052050983
2024-12-02,2,8,"[0.597219705581665, 0.8951636552810669, 0.9488094449043274, 0.3224015235900879, -0.21045103669166565]",3.6,4.8713995767297495
