Date,Episode,Hour,Action,Battery_Energy,System_Loss
2024-12-03,1,1,"[0.7707635760307312, -0.12829281389713287, 0.23221753537654877, -0.539954423904419, 0.5014458298683167]",1.2446516954898834,1.6776185880605683
2024-12-03,1,2,"[0.810053288936615, -0.0564386211335659, 0.3680821359157562, -0.48892924189567566, 0.47851502895355225]",0.8,1.6427863140727583
2024-12-03,1,3,"[0.7559415102005005, -0.026583710685372353, 0.32044366002082825, -0.5020193457603455, 0.5281701683998108]",0.8,1.3974840668119324
2024-12-03,1,4,"[0.6809749007225037, -0.21636070311069489, 0.07076215744018555, -0.38214603066444397, 0.4626893103122711]",0.8,1.2026593927619744
2024-12-03,1,5,"[0.6317412853240967, -0.3239695727825165, -0.03278040140867233, -0.36014464497566223, 0.4301419258117676]",0.8,1.2435073428795471
2024-12-03,1,6,"[0.6434893012046814, -0.29394662380218506, -0.06648579984903336, -0.3396705687046051, 0.35359883308410645]",0.8,1.536310257549296
2024-12-03,1,7,"[0.7192211747169495, -0.14717364311218262, 0.22665774822235107, -0.47034215927124023, 0.5210108757019043]",0.8,1.9802099149398553
2024-12-03,1,8,"[0.7272793650627136, -0.13428251445293427, 0.11295119673013687, -0.6052833199501038, 0.42767444252967834]",0.8,1.9678515432924077
2024-12-03,1,9,"[0.6540185809135437, -0.3781844973564148, -0.1386513113975525, -0.6136493682861328, 0.555473268032074]",0.8,2.229760555193031
2024-12-03,1,10,"[0.7435822486877441, -0.42174655199050903, -0.018167121335864067, -0.5371615290641785, 0.6673683524131775]",0.8,2.4647030197820414
2024-12-03,1,11,"[0.7692021727561951, -0.40214723348617554, -0.0163236353546381, -0.5971046686172485, 0.7143872380256653]",0.8,2.7591899523333314
2024-12-03,1,12,"[0.8496112823486328, -0.3353431224822998, 0.16485722362995148, -0.6270082592964172, 0.686351478099823]",0.8,3.07579221890526
2024-12-03,1,13,"[0.8837970495223999, -0.27295684814453125, 0.21240545809268951, -0.5672876238822937, 0.7986865639686584]",0.8,2.618300642560996
2024-12-03,1,14,"[0.8320958018302917, -0.2559395432472229, 0.16076213121414185, -0.6734223365783691, 0.738818347454071]",0.8,2.3134336881246496
2024-12-03,1,15,"[0.8684573173522949, -0.15321333706378937, 0.4938098192214966, -0.5880292654037476, 0.6581310033798218]",0.8,2.1496913018925596
2024-12-03,1,16,"[0.8544026613235474, -0.22782978415489197, 0.31755563616752625, -0.5671184659004211, 0.5828194618225098]",0.8,1.5621640417184328
2024-12-03,1,17,"[0.8650990724563599, -0.1243056058883667, 0.42675575613975525, -0.4193398654460907, 0.3368358612060547]",0.8,1.7495752790285508
2024-12-03,1,18,"[0.7490127086639404, -0.37049466371536255, -0.06040939316153526, -0.44981375336647034, 0.5071388483047485]",0.8,1.633879506486455
2024-12-03,1,19,"[0.8133262395858765, -0.40675535798072815, 0.03879378363490105, -0.3899964690208435, 0.4205642640590668]",0.8,1.6487008645715773
2024-12-03,1,20,"[0.7716779112815857, -0.3646720349788666, -0.053519412875175476, -0.39649662375450134, 0.468040406703949]",0.8,1.706407475971717
2024-12-03,1,21,"[0.7627242207527161, -0.28563711047172546, -0.023788463324308395, -0.3917716443538666, 0.3487466871738434]",0.8,1.5662141470560722
2024-12-03,1,22,"[0.7936928868293762, -0.2185116410255432, 0.08912642300128937, -0.3436681926250458, 0.340229332447052]",0.8,1.4507575881385395
2024-12-03,1,23,"[0.7656059861183167, -0.3096640110015869, 0.1350909024477005, -0.336174339056015, 0.4267580509185791]",0.8,1.4452173254340934
2024-12-03,1,24,"[0.7979146838188171, -0.2797262966632843, 0.1592199057340622, -0.3434501886367798, 0.3850898742675781]",0.8,1.3410174313085377
2024-12-03,2,1,"[0.732244074344635, -0.22735807299613953, 0.05843421071767807, -0.27139362692832947, 0.3915655016899109]",1.2824008071422577,1.416002071304826
2024-12-03,2,2,"[0.7334193587303162, -0.2146434485912323, 0.04107904061675072, -0.3536137342453003, 0.36067765951156616]",0.8,1.3337194707167388
2024-12-03,2,3,"[0.7084308862686157, -0.26414474844932556, 0.028812536969780922, -0.3426592946052551, 0.4099757969379425]",0.8,1.5888072570754095
2024-12-03,2,4,"[0.6975995302200317, -0.17597712576389313, 0.06601796299219131, -0.43535375595092773, 0.5211159586906433]",0.8,1.555611708651633
2024-12-03,2,5,"[0.7313830256462097, -0.14391718804836273, 0.14608891308307648, -0.4638465344905853, 0.5241982936859131]",0.8,1.6781740988608913
2024-12-03,2,6,"[0.7494181990623474, -0.1826915591955185, 0.14601145684719086, -0.42113086581230164, 0.5565765500068665]",0.8,2.084167075309992
2024-12-03,2,7,"[0.798335075378418, -0.07208991050720215, 0.3351106643676758, -0.5506291389465332, 0.5913848876953125]",0.8,3.450539178314466
2024-12-03,2,8,"[0.8053473830223083, -0.5441285967826843, 0.17505718767642975, -0.6584054827690125, 0.9088900685310364]",0.8,4.858407715067741
2024-12-03,2,9,"[0.913259744644165, -0.6378070712089539, 0.25000911951065063, -0.6649447679519653, 0.9293376207351685]",0.8,5.729181291395257
2024-12-03,2,10,"[0.9641929864883423, -0.6797504425048828, 0.2831569015979767, -0.43153977394104004, 0.9122061729431152]",0.8,6.273946906692383
2024-12-03,2,11,"[0.9666463136672974, -0.6481883525848389, 0.2547358274459839, -0.6942449808120728, 0.9640493988990784]",0.8,6.238079891378176
2024-12-03,2,12,"[0.9775423407554626, -0.5988117456436157, 0.49230706691741943, -0.6059162616729736, 0.9583240747451782]",0.8,5.833986281853011
2024-12-03,2,13,"[0.9884697794914246, -0.5684239864349365, 0.6768341660499573, -0.5058842301368713, 0.9527774453163147]",0.8,6.492959171617031
2024-12-03,2,14,"[0.9789143204689026, -0.5879690647125244, 0.3205552101135254, -0.5772305727005005, 0.9528042078018188]",0.8,6.689578793689749
2024-12-03,2,15,"[0.9757181406021118, -0.6780611872673035, 0.33033546805381775, -0.5915348529815674, 0.9621437191963196]",0.8,6.116039083483108
2024-12-03,2,16,"[0.9561989307403564, -0.6459209322929382, 0.28484416007995605, -0.5343160033226013, 0.9536467790603638]",0.8,5.8308321864821275
2024-12-03,2,17,"[0.942122757434845, -0.5799810290336609, 0.14311954379081726, -0.5471078753471375, 0.9596837759017944]",0.8,3.368357794634485
2024-12-03,2,18,"[0.9442337155342102, -0.3138747215270996, 0.23357833921909332, -0.3641761243343353, 0.7984973788261414]",0.8,2.2405575006567795
2024-12-03,2,19,"[0.8929251432418823, -0.35889843106269836, 0.2923611104488373, -0.4597627818584442, 0.6018263697624207]",0.8,2.1229170142142726
2024-12-03,2,20,"[0.858281135559082, -0.38706597685813904, 0.19267742335796356, -0.4654979109764099, 0.5615352988243103]",0.8,1.9065525045452385
2024-12-03,2,21,"[0.8619474768638611, -0.25728681683540344, 0.2087426334619522, -0.3743893802165985, 0.44274890422821045]",0.8,2.271216839079067
2024-12-03,2,22,"[0.8384072184562683, -0.1664479523897171, 0.2123604118824005, -0.44915899634361267, 0.5074376463890076]",0.8,2.4511706550776733
2024-12-03,2,23,"[0.8285223841667175, -0.15985509753227234, 0.11859601736068726, -0.5172162055969238, 0.5185776948928833]",0.8,2.1711956232337557
2024-12-03,2,24,"[0.8727340698242188, -0.1292659342288971, 0.3714534640312195, -0.4800244867801666, 0.562352180480957]",0.8,2.1113663896691204
2024-12-03,3,1,"[0.8412876725196838, -0.2146386057138443, 0.19925284385681152, -0.49482232332229614, 0.5823438763618469]",1.1755380809307099,2.1370320850343507
